100,sam,3-89-koti-hyderbad,961358764,pav bajji,vada,dosa,
101,raju,8-89-chennai-tamilnadu,961345764,idli,vada,dosa,
102,ramu,3-19-bajaj nagar-nagpur,961038764,dosa,chicken birayani,panneer birayani,
103,sonu,5-59-kochi-kerala,631358764,idli,fish birayani,dosa,
104,shanvi,3-09-naspur-hyderbad,967958764,idli,dosa,bonda,
105,srininvas,7-29-banjara hills-hyderbad,960358764,dosa,chicken birayani,vada,
100,sam,3-89-koti-hyderbad,961358764,dosa,chicken birayani,panneer birayani,
101,raju,8-89-chennai-tamilnadu,961345764,idli,fish birayani,dosa,
102,ramu,3-19-bajaj nagar-nagpur,961038764,dosa,sambar,veg birayani,
107,sai,3-09-srirampur-mancherial,791358764,idli,vada,dosa,
